term,LID,non-lexeme,questionable,lexical_category,sense,CDA_page,CDA_numeral,CAD_page,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic,hurrian_loanword
ab abi,L1086258,,,noun,grandfather,3,,,,,,,,,,,,,
abālu,L1086259,,,verb,to dry,1,,,,,,,HAD₂.A,,,,,,
abāru,L1086260,,,verb,to embrace,2,III,,,,,,,,,,,,
abattu,L1086261,,,noun,river-gravel,2,,,,,,,,,,,,,
abnu,L1086262,,,noun,stone,2,,,,,,,NA₄,,,,,,
abru,L1086263,,,noun,wing,2,,,,,,apru,,,,,,,
abu,L1086264,,,noun,father,2,,,,,,,AD,,,,,,
abūbu,L1086265,,,noun,flood,3,,,,,,,A.MA.RU,,,,,,
abullu,L1086266,,,noun,gate,3,,,,,,,ABUL,,,,,,
Adad,L1086267,,,pn,chief Mesopotamian storm god,,,,1;22,,3,,DINGIR.IM,,,,,,
adānu,L1086268,,,noun,fixed data,4,,,,,,adannu,UD.DUG₄.GA;U₄.SUR,U₄.SUR,,,,,
adāru,L1086269,,,verb,to be dark,4,,,,,,hadāru,KANA₅,,,,,,
adāru,L1086270,,,verb,to be afraid,4,,,,,,,,,,,,,
adi,L1086271,,,prep,until,4,,,,,,,,,,,,,
adû,L1086272,,,noun,treaty,5,,,,,,,,,adiu,,,,
agāgu,L1086273,,,verb,to be furious,5,,,,,,,,,,,,,
agû,L1086274,,,noun,"crown,corona",6,,,,,,,AGA,,,,,,
agû,L1086275,,,noun,wave,6,,,,,,,A.GI₆.A,,,,,,
aguhhu,L1086285,,,noun,sash,6,,,,,,,,,,,,,
ahāzu,L1086286,,,verb,"to take,to marry",7,,,,,,,,,,,,,
ahu,L1086287,,,noun,brother,8,,,,,,,ŠEŠ;PAP,PAP,,,,,
ahu,L1086288,,,noun,"side,arm",8,,,,,,,,,,,,,
ahû,L1086289,,,adj,"outside,strange",8,,,,,,,BAR,,,,,,
akālu,L1086290,,,verb,to eat,9,,,,,,,GU₇,,,,,,
aklu,L1086291,,,adj,eaten,10,,,,,,,,,,,,,
alāku,L1086292,,,verb,to go,11,,,,,,,DU,,,,,,
alālu,L1086293,,,verb,to suspend,11,,,,,,,,,,,,,
alālu,L1086294,,,noun,work song,11,,,,,,,,,,,,,
alālu,L1086295,,,verb,"to sign a joyful song,to boast",11,,,,,,,,,,,,,
ālānû,L1086296,,,adj,"living in a foreign place,exile",11,,,,,,,,,,,,,
alātu,L1086297,,,verb,to swallow,11,,,,,,,,,,,,,
alpu,L1086298,,,noun,"bull,ox",12,,,,,,,GU₄,,,,,,
ālu,L1086299,,,noun,"city,town",13,,,,,,,URU,,,,,,
amahhu,L1086300,,,noun,city-wall,14,,,,,,amuhhu,,,,,,,
amāru,L1086301,,,verb,to see,14,,,,,,,IGI;IGI.DU₈,IGI.DU₈,,,,,
amurru,L1086302,,,noun,"Amurru,west",16,,,,,,,MAR.TU,,,,,,
amūtu,L1086303,,,noun,status of a maid,16,,,,,,,,,,,,,
amūtu,L1086304,,,noun,liver,16,,,,,,,BA₃,,,,,,
ana,L1086305,,,prep,"to,for",16,,,,,,,DIŠ,,,,,,
anāhu,L1086306,,,verb,to be tired,16,,,,,,,,,,,,,
andurāru,L1086307,,,noun,"freedom,exemption",17,,,,,,"andarāru,addurāru",,,,,,,
anqullu,L1086308,,,noun,"an atmospheric phenomenon, a fiery glow",18,,,,,,,IZI.AN.NE,,,,,,
anuntu,L1086309,,,noun,"fight,combat",18,,,,,,anantu,,,,,,,
Anzu,L1086310,,,pn,mythical eagle-like bird monster,,,,,,26,,DINGIR.IM.DUGUD,,,,,,
apālu,L1086311,,,verb,"to answer,to pay",19,,,,,,,,,,,,,
apālu,L1086312,,,verb,to be late,19,,,,,,,,,,,,,
appu,L1086313,,,noun,"nose,beak",20,,,,,,,KIR₄,,,,,,
apsû,L1086314,,,noun,underground water,21,,,,,,,ABZU,,,,,,
arāhu,L1086315,,,verb,to hasten,21,,,,,,warāhu,,,,,,,
arāhu,L1086316,,,verb,to devour,22,,,,,,,,,,,,,
arallû,L1086317,,,noun,netherworld,22,,,,,,arallu,ARALI,,,,,,
arāmu,L1086318,,,verb,to cover,22,,,,,,erēmu,,,,,,,
arhu,L1086319,,,adj,fast,,,A2 259,,,,,,,,,,,
arītu,L1086320,,,adj,pregnant,23,,,,,,,MUNUS.PEŠ₄,,,,,,
arītu,L1086321,,,noun,shield,23,,,,,,,,,,,,,
arkû,L1086322,,,adj,"rear,later",434,,,,,,warkû,,,urkû,,,,
arnu,L1086323,,,verb,"guilt,fault,penaly",24,,,,,,annu,NAM.TAG.GA,,,,,,
āšipu,L1086324,,,noun,sorcerer,436,,,,,,wāšipu,LU₂.MAŠ.MAŠ;LU₂.MU₇.MU₇,LU₂.MU₇.MU₇,,,,,
aškāpu,L1086325,,,noun,leatherworker,28,,,,,,,AŠGAB,,,,,,
askuppu,L1086326,,,noun,threshold slab,26,,,,,,,NA₄.I.DIB,,aksuppu,,,,
ašqulālu,L1086327,,,noun,"lasso,whirlwind,a marine plant",28,,,,,,isqulālu,,,,,,,
ašru,L1086328,,,noun,place,28,,,,,,,KI,,,,,,
Aššur,L1086329,,,pn,Chief god of Assyria,,,,1;196,,,,DINGIR.AN.ŠAR₂,,,,,,
Aššur-bani-apli,L1087161,,,pn,king of Assyria (r. 669-631 BCE),,,,,,,,DINGIR.AN.ŠAR₂.DU₃.A,,,,,,
asurrû,L1086330,,,noun,lower course of wall,26,,,,,,,,,,yes,,,
atappu,L1086331,,,noun,small canal,30,,,,,,adappu,PA₅,,,,,,
awātu,L1086332,,,noun,"word,matter",31,,,,,,amātu,INIM,,,,,,
ayyābu,L1086333,,,noun,enemy,32,,,,,,yābu,LU₂.ERIM₂,,,,,,
ayyalu,L1086334,,,noun,"deer,stag",32,,,,,,,DARA₃.MAŠ,,"yalu,ya'alu",,,,
